ref	pos	CAP257/week_161
NC_001802.1	1	0
NC_001802.1	2	0
NC_001802.1	3	0
NC_001802.1	4	0
NC_001802.1	5	0
NC_001802.1	6	0
NC_001802.1	7	0
NC_001802.1	8	0
NC_001802.1	9	0
NC_001802.1	10	0
NC_001802.1	11	0
NC_001802.1	12	0
NC_001802.1	13	0
NC_001802.1	14	0
NC_001802.1	15	0
NC_001802.1	16	0
NC_001802.1	17	0
NC_001802.1	18	0
NC_001802.1	19	0
NC_001802.1	20	0
NC_001802.1	21	0
NC_001802.1	22	0
NC_001802.1	23	0
NC_001802.1	24	0
NC_001802.1	25	0
NC_001802.1	26	0
NC_001802.1	27	0
NC_001802.1	28	0
NC_001802.1	29	0
NC_001802.1	30	0
NC_001802.1	31	0
NC_001802.1	32	0
NC_001802.1	33	0
NC_001802.1	34	0
NC_001802.1	35	0
NC_001802.1	36	0
NC_001802.1	37	0
NC_001802.1	38	0
NC_001802.1	39	0
NC_001802.1	40	0
NC_001802.1	41	0
NC_001802.1	42	0
NC_001802.1	43	0
NC_001802.1	44	0
NC_001802.1	45	0
NC_001802.1	46	0
NC_001802.1	47	0
NC_001802.1	48	0
NC_001802.1	49	0
NC_001802.1	50	0
NC_001802.1	51	0
NC_001802.1	52	0
NC_001802.1	53	0
NC_001802.1	54	0
NC_001802.1	55	0
NC_001802.1	56	0
NC_001802.1	57	0
NC_001802.1	58	0
NC_001802.1	59	0
NC_001802.1	60	0
NC_001802.1	61	0
NC_001802.1	62	0
NC_001802.1	63	0
NC_001802.1	64	0
NC_001802.1	65	0
NC_001802.1	66	0
NC_001802.1	67	0
NC_001802.1	68	0
NC_001802.1	69	0
NC_001802.1	70	0
NC_001802.1	71	0
NC_001802.1	72	0
NC_001802.1	73	0
NC_001802.1	74	0
NC_001802.1	75	0
NC_001802.1	76	0
NC_001802.1	77	0
NC_001802.1	78	0
NC_001802.1	79	0
NC_001802.1	80	0
NC_001802.1	81	0
NC_001802.1	82	0
NC_001802.1	83	0
NC_001802.1	84	0
NC_001802.1	85	0
NC_001802.1	86	0
NC_001802.1	87	0
NC_001802.1	88	0
NC_001802.1	89	0
NC_001802.1	90	0
NC_001802.1	91	0
NC_001802.1	92	0
NC_001802.1	93	0
NC_001802.1	94	0
NC_001802.1	95	0
NC_001802.1	96	0
NC_001802.1	97	0
NC_001802.1	98	0
NC_001802.1	99	0
NC_001802.1	100	0
NC_001802.1	101	0
NC_001802.1	102	0
NC_001802.1	103	0
NC_001802.1	104	0
NC_001802.1	105	0
NC_001802.1	106	0
